tweet_id,retweet_count,favorite_count,user_count
892420643555336193,7142,34350,9099508
892177421306343426,5374,29779,9099508
891815181378084864,3541,22402,9099508
891689557279858688,7336,37503,9099508
891327558926688256,7888,35830,9099508
891087950875897856,2652,18083,9099508
890971913173991426,1700,10542,9099132
890729181411237888,16058,57729,9099508
890609185150312448,3681,24916,9099508
890240255349198849,6199,28393,9099508
890006608113172480,6252,27429,9099508
889880896479866881,4238,24952,9099508
889665388333682689,8501,42737,9099508
889638837579907072,3790,24020,9099508
889531135344209921,1913,13547,9099508
889278841981685760,4520,22450,9099508
888917238123831296,3823,26020,9099508
888804989199671297,3604,22809,9099508
888554962724278272,2925,17601,9099508
888078434458587136,2950,19431,9099508
887705289381826560,4607,27028,9099508
887517139158093824,10001,41361,9099508
887473957103951883,15275,61132,9099508
887343217045368832,8954,30029,9099508
887101392804085760,5074,27408,9099132
886983233522544640,6452,30867,9099508
886736880519319552,2690,10649,9099508
886680336477933568,3802,20056,9099508
886366144734445568,2683,18847,9099508
886267009285017600,3,104,9099508
886258384151887873,5374,24946,9099508
886054160059072513,94,0,9099508
885984800019947520,5716,29026,9099508
885528943205470208,5432,32082,9099508
885518971528720385,3174,18284,9099508
885311592912609280,15717,0,9099508
885167619883638784,3720,19524,9099508
884925521741709313,15294,68325,9099508
884876753390489601,4738,24777,9099508
884562892145688576,3982,21650,9099572
884441805382717440,4862,24239,9099572
884247878851493888,17194,64312,9099508
884162670584377345,2533,18205,9099508
883838122936631299,2911,19473,9099508
883482846933004288,8402,40846,9099508
883360690899218434,3131,20252,9099508
883117836046086144,5627,33048,9099508
882992080364220416,3289,21303,9099508
882762694511734784,4162,25170,9099508
882627270321602560,5162,24989,9099508
882268110199369728,9832,39825,9099508
882045870035918850,4143,26148,9099508
881906580714921986,2894,21772,9099508
881666595344535552,9103,45265,9099508
881633300179243008,8,113,9099508
881536004380872706,13629,44095,9099508
881268444196462592,4551,20799,9099508
880935762899988482,2373,15284,9099508
880872448815771648,3256,19014,9099508
880465832366813184,5299,25384,9099508
880221127280381952,3537,24045,9099508
880095782870896641,3713,24707,9099508
879862464715927552,2974,20007,9099572
879674319642796034,9,283,9099508
879492040517615616,2677,21035,9099508
879415818425184262,38066,94329,9099508
879376492567855104,2682,15060,9099508
879130579576475649,5826,0,9099508
879050749262655488,4014,20133,9099508
879008229531029506,2287,17035,9099508
878776093423087618,3501,17381,9099508
878604707211726852,6022,26833,9099508
878404777348136964,1086,0,9099508
878316110768087041,5631,0,9099508
878281511006478336,1086,6902,9099508
878057613040115712,5826,37686,9099508
877736472329191424,16099,70380,9099508
877611172832227328,70,0,9099508
877556246731214848,3219,20260,9099508
877316821321428993,4428,24537,9099508
877201837425926144,4709,24204,9099508
876838120628539392,2848,18507,9099508
876537666061221889,4044,21345,9099508
876484053909872640,2035,16818,9099508
876120275196170240,3977,25060,9099508
875747767867523072,3636,22508,9099508
875144289856114688,4213,19699,9099508
875097192612077568,5213,24624,9099508
875021211251597312,4046,22905,9099508
874680097055178752,3989,24954,9099508
874434818259525634,12435,0,9099508
874296783580663808,3536,23363,9099508
874057562936811520,3437,20450,9099508
874012996292530176,8713,30603,9099508
873580283840344065,3388,21764,9099508
873337748698140672,1346,0,9099508
873213775632977920,1346,6417,9099508
872967104147763200,4635,24435,9099508
872820683541237760,3215,13246,9099508
872620804844003328,3116,18624,9099508
872486979161796608,7839,36702,9099132
872122724285648897,6973,30728,9099508
871879754684805121,9403,33641,9099508
871762521631449091,3017,18172,9099508
871515927908634625,3000,18171,9099508
871166179821445120,4965,0,9099508
871102520638267392,4779,18849,9099508
871032628920680449,3288,20473,9099508
870804317367881728,5358,30292,9099508
870726314365509632,3,107,9099508
870656317836468226,2239,11051,9099508
870374049280663552,23158,75172,9099508
870308999962521604,3606,19792,9099508
870063196459192321,7201,32910,9099508
869772420881756160,8827,38533,9099508
869702957897576449,5473,25439,9099508
869596645499047938,2683,14423,9099508
869227993411051520,3254,18418,9099508
868880397819494401,12487,58876,9099508
868639477480148993,1785,0,9099508
868622495443632128,4566,24019,9099508
868552278524837888,1785,9123,9099508
867900495410671616,3631,21921,9099508
867774946302451713,6353,30674,9099508
867421006826221569,2154,14550,9099508
867072653475098625,105,0,9099508
867051520902168576,6890,29158,9099508
866720684873056260,4192,18112,9099508
866686824827068416,3007,17389,9099508
866450705531457537,30810,110563,9099508
866334964761202691,12435,47346,9099508
866094527597207552,7287,0,9099508
865718153858494464,4939,23294,9099508
865359393868664832,4372,23965,9099508
865006731092295680,6777,25454,9099508
864873206498414592,7599,29244,9099508
864279568663928832,2627,13256,9099508
864197398364647424,7721,27086,9099508
863907417377173506,3646,18750,9099508
863553081350529029,3685,13887,9099508
863471782782697472,2118,0,9099508
863432100342583297,4626,21660,9099508
863427515083354112,81,1987,9099508
863079547188785154,975,8002,9099508
863062471531167744,2118,7639,9099508
862831371563274240,4532,17466,9099508
862722525377298433,3140,15563,9099508
862457590147678208,4323,18535,9099508
862096992088072192,20339,67283,9099508
861383897657036800,9440,32807,9099508
861288531465048066,3652,15606,9099508
861005113778896900,3387,15253,9099508
860981674716409858,1883,0,9099508
860924035999428608,692,0,9099508
860563773140209665,1883,6829,9099508
860524505164394496,4688,21594,9099508
860276583193509888,3124,16862,9099508
860184849394610176,5190,15234,9099508
860177593139703809,27291,0,9099508
859924526012018688,3645,17930,9099508
859851578198683649,3129,14188,9099508
859607811541651456,1378,17079,9099508
859196978902773760,26765,81805,9099508
859074603037188101,12164,30916,9099508
858860390427611136,7209,0,9099508
858843525470990336,3080,14338,9099508
858471635011153920,4336,19826,9099508
858107933456039936,2575,14475,9099508
857989990357356544,2305,14747,9099508
857746408056729600,9512,31328,9099508
857393404942143489,1463,5392,9099508
857263160327368704,4041,18515,9099508
857214891891077121,16,207,9099508
857062103051644929,150,0,9099508
857029823797047296,3552,17331,9099508
856543823941562368,2591,15084,9099508
856526610513747968,1684,11008,9099508
856288084350160898,15,492,9099508
856282028240666624,5673,25639,9099509
855862651834028034,22,308,9099509
855860136149123072,869,4494,9099509
855857698524602368,1893,11008,9099509
855851453814013952,16413,42603,9099509
855818117272018944,4896,24653,9099509
855459453768019968,7417,27549,9099509
855245323840757760,5370,0,9099509
855138241867124737,39,0,9099509
854732716440526848,5472,21049,9099509
854482394044301312,6135,27051,9099509
854365224396361728,4238,17490,9099509
854120357044912130,6725,29668,9099509
854010172552949760,2850,15093,9099509
853760880890318849,5201,26512,9099509
853639147608842240,9042,32092,9099509
853299958564483072,3228,14402,9099509
852936405516943360,1821,0,9099509
852912242202992640,1638,8392,9099509
852672615818899456,1968,13892,9099509
852553447878664193,3171,15150,9099509
852311364735569921,9032,30853,9099509
852226086759018497,6203,18620,9099509
852189679701164033,1449,10742,9099509
851861385021730816,19,0,9099509
851591660324737024,3186,15217,9099509
851464819735769094,6435,22667,9099509
851224888060895234,5266,19367,9099509
850753642995093505,8253,28628,9099509
850380195714523136,2385,12272,9099509
850333567704068097,305,3241,9099509
850145622816686080,3459,15259,9099509
850019790995546112,4470,19102,9099509
849776966551130114,6950,28401,9099509
849668094696017920,4539,0,9099509
849412302885593088,2890,14899,9099509
849336543269576704,1727,10739,9099509
849051919805034497,7779,39702,9099509
848690551926992896,3989,23678,9099509
848324959059550208,4236,23241,9099509
848213670039564288,664,7666,9099509
848212111729840128,2771,15307,9099509
847978865427394560,2997,0,9099509
847971574464610304,405,0,9099509
847962785489326080,4676,22118,9099509
847842811428974592,1213,5099,9099509
847617282490613760,381,6595,9099509
847606175596138505,3153,17662,9099509
847251039262605312,3997,19311,9099509
847157206088847362,5346,18693,9099509
847116187444137987,2929,20229,9099509
846874817362120707,3622,18937,9099509
846514051647705089,10608,41880,9099509
846505985330044928,2830,13304,9099509
846153765933735936,8346,29649,9099509
846139713627017216,9333,29289,9099573
846042936437604353,2640,15069,9099509
845812042753855489,8021,27530,9099509
845677943972139009,4461,23829,9099509
845397057150107648,1642,7216,9099509
845306882940190720,4972,22002,9099509
845098359547420673,7080,0,9099509
844979544864018432,2353,12881,9099509
844973813909606400,2917,14178,9099509
844580511645339650,2872,15546,9099509
844223788422217728,2024,12934,9099509
843981021012017153,2748,14373,9099509
843856843873095681,4255,20307,9099509
843604394117681152,2532,15994,9099509
843235543001513987,5534,20328,9099509
842846295480000512,3374,14484,9099509
842765311967449089,1189,6400,9099509
842535590457499648,3249,17192,9099509
842163532590374912,5370,23127,9099509
842115215311396866,2814,13254,9099509
841833993020538882,13850,0,9099509
841680585030541313,7289,24440,9099509
841439858740625411,3387,11959,9099509
841320156043304961,5130,18751,9099509
841314665196081154,4309,15013,9099509
841077006473256960,4965,21706,9099509
840761248237133825,1639,0,9099509
840728873075638272,14915,0,9099509
840698636975636481,2,168,9099509
840696689258311684,904,11664,9099509
840632337062862849,1639,8561,9099509
840370681858686976,4246,15602,9099509
840268004936019968,5319,18249,9099509
839990271299457024,2110,12745,9099509
839549326359670784,7209,26035,9099509
839290600511926273,136,0,9099509
839239871831150596,6051,25666,9099509
838952994649550848,3736,18694,9099509
838921590096166913,1899,10601,9099509
838916489579200512,31,0,9099509
838831947270979586,10256,0,9099509
838561493054533637,1245,10439,9099509
838476387338051585,4421,21339,9099509
838201503651401729,9376,0,9099509
838150277551247360,312,1582,9099509
838085839343206401,1,135,9099509
838083903487373313,2899,16752,9099509
837820167694528512,7287,32389,9099509
837482249356513284,414,3664,9099573
837471256429613056,2107,12184,9099509
837110210464448512,2211,15323,9099509
836989968035819520,2153,12165,9099509
836753516572119041,4336,18437,9099509
836677758902222849,2068,12038,9099509
836648853927522308,517,0,9099509
836397794269200385,25601,0,9099509
836380477523124226,2796,14125,9099509
836260088725786625,4050,20323,9099509
836001077879255040,3979,18192,9099509
835685285446955009,7594,0,9099509
835574547218894849,3371,16971,9099509
835536468978302976,1575,0,9099509
835309094223372289,19541,0,9099509
835297930240217089,2796,15726,9099509
835264098648616962,1575,7371,9099509
835246439529840640,64,2014,9099509
835172783151792128,5383,24993,9099509
835152434251116546,2819,21304,9099509
834931633769889797,1518,10287,9099509
834786237630337024,5189,20543,9099509
834574053763584002,2358,13014,9099509
834477809192075265,9959,0,9099509
834458053273591808,1571,9183,9099509
834209720923721728,4427,19592,9099509
834167344700198914,3436,15100,9099509
834089966724603904,2007,9596,9099509
834086379323871233,2065,12460,9099509
833863086058651648,2253,12833,9099509
833826103416520705,3548,17349,9099509
833732339549220864,208,0,9099509
833722901757046785,3046,19999,9099509
833479644947025920,1916,14235,9099509
833124694597443584,4539,19324,9099509
832998151111966721,2058,12643,9099509
832769181346996225,38,0,9099509
832757312314028032,3395,16115,9099509
832682457690300417,2719,11341,9099509
